Donor	MAGID	Completeness	Contamination	GTDBr207Taxonomy	PaperQuality	Domain	Phylum	Class	Order	Family	Genus	Species	SpeciesResolved	MIMAGHighQualityStatus	NormalizedInput
Donor 2	bin.6	89.98	0.42	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis	Paper medium	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides faecis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.168	89.72	3.18	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615;s__KLE1615 sp900066985	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	KLE1615	KLE1615 sp900066985	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.165	88.27	0.58	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Merdivicinus;s__	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Merdivicinus		False	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.95	86.08	2.74	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__CAG-1427 sp000435675	Paper medium	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427	CAG-1427 sp000435675	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.123	85.56	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__Copromonas sp900066535	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Copromonas	Copromonas sp900066535	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.78	84.89	0.84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__UMGS1071 sp900542375	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1071	UMGS1071 sp900542375	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.14	84.3	0.86	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp900066775	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella sp900066775	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.132	83.4	3.49	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter asaccharolyticus	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.151	83.15	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	Paper medium	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.53	82.13	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	Paper medium	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.66	81.21	0.03	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Ventricola;s__Ventricola sp900542445	Paper medium	Bacteria	Firmicutes_A	Clostridia	Christensenellales	CAG-74	Ventricola	Ventricola sp900542445	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.159	79.59	1.34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__HGM13222;s__HGM13222 sp900757485	Paper medium	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	HGM13222	HGM13222 sp900757485	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.15	78.7	0.32	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A massiliensis	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A massiliensis	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.9	77.86	0.71	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp000434275	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter sp000434275	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.150	76.39	3.04	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A wexlerae	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.104	75.86	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae	Paper medium	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae	True	Not assessable: rRNA/tRNA evidence absent	False
Donor 2	bin.108	75.55	0.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	Paper medium	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia intestinalis	True	Not assessable: rRNA/tRNA evidence absent	False
