AnalysisAccession	PipelineVersion	ExperimentType	StudyAccession	RunAccession	SampleAccession	SampleTitle	NucleicAcid	AssemblyAccession
MGYA00005278	V2	Metagenomic	MGYS00000410	ERR599068	SAMEA2620929	TARA_20100715T1222Z_066_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000475	DNA	
MGYA00005279	V2	Metagenomic	MGYS00000410	ERR598969	SAMEA2619802	TARA_20100109T0715Z_031_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001403	DNA	
MGYA00005280	V2	Metagenomic	MGYS00000410	ERR598968	SAMEA2623673	TARA_20120215T1254Z_146_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001540	DNA	
MGYA00005281	V2	Metagenomic	MGYS00000410	ERR598965	SAMEA2621812	TARA_20110312T1937Z_093_Combined-EVENTS_CAST_MB_D_(35 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001059	DNA	
MGYA00005282	V2	Metagenomic	MGYS00000410	ERR598964	SAMEA2623794	TARA_20120301T1853Z_149_Combined-EVENTS_CAST_MB_M_(740 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001765	RNA	
MGYA00005283	V2	Metagenomic	MGYS00000410	ERR598967	SAMEA2621859	TARA_20110324T1300Z_096_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000989	DNA	
MGYA00005284	V2	Metagenomic	MGYS00000410	ERR598966	SAMEA2619927	TARA_20100312T0606Z_036_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000034	DNA	
MGYA00005285	V2	Metagenomic	MGYS00000410	ERR598961	SAMEA2622478	TARA_20110531T2030Z_111_Combined-EVENTS_CAST_MB_D_(90 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000579	RNA	
MGYA00005286	V2	Metagenomic	MGYS00000410	ERR598960	SAMEA2620882	TARA_20100712T0650Z_065_Combined-EVENTS_CAST_MB_M_(850 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000460	DNA	
MGYA00005287	V2	Metagenomic	MGYS00000410	ERR598963	SAMEA2623774	TARA_20120301T1048Z_149_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001758	RNA	
MGYA00005288	V2	Metagenomic	MGYS00000410	ERR598962	SAMEA2622219	TARA_20110422T2113Z_102_EVENT_PUMP_P_D_(40 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000902	RNA	
MGYA00005289	V2	Metagenomic	MGYS00000410	ERR599092	SAMEA2619678	TARA_20091102T1407Z_018_EVENT_PUMP_P_D_(60 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_S200000501	DNA	
MGYA00005290	V2	Metagenomic	MGYS00000410	ERR315863	SAMEA2591108	TARA_20091215T1041Z_030_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001015	DNA	
MGYA00102827	V3	Metagenomic	MGYS00000410	ERR1701760	SAMEA2620084	TARA_20100318T1133Z_039_EVENT_PUMP_P_D_(25 m)_BACT_NUC-DNA(100L)_W1.6-20_TARA_B100000105	DNA	
