SampleAccession	ENAAccessions	SampleTitle	Latitude	Longitude	DepthAnnotation	DepthM	SamplingSite	ProtocolLabel	NucleicAcid	SizeFractionMicrometre	CollectionDateStart	CollectionDateEnd	EnvironmentFeature	EnvironmentMaterial	BroadContext	LocalContext	Temperature	Salinity	Status	MetadataStudyAccessions	ValidCoordinates
SAMEA2622733	ERS492778;SAMEA2622733	TARA_20110801T1755Z_123_Combined-EVENTS_CAST_MB_X_(150 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000686	-8.9109	-140.2845	150	150	TARA_123	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-07-31	2011-08-02	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)			public	PRJEB7988;PRJEB6608	True
SAMEA2622759	ERS492814;SAMEA2622759	TARA_20110804T1833Z_124_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000674	-9.1504	-140.5216	5	5	TARA_124	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-08-03	2011-08-04	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2622796	ERS492863;SAMEA2622796	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MB_X_(120 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000676	-9.0714	-140.5973	120	120	TARA_124	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-08-04	2011-08-05	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)			public	PRJEB7988;PRJEB6608	True
SAMEA2622817	SAMEA2622817;ERS492888	TARA_20110808T1733Z_125_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001121	-8.9111	-142.5571	5	5	TARA_125	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-08-07	2011-08-08	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2622837	ERS492926;SAMEA2622837	TARA_20110809T1708Z_125_Combined-EVENTS_CAST_MB_X_(140 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001123	-8.8999	-142.5461	140	140	TARA_125	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-08-08	2011-08-09	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2622901	ERS493044;SAMEA2622901	TARA_20110904T1800Z_128_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000609	0.0003	-153.6759	5	5	TARA_128	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-09-03	2011-09-04	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB36282	True
SAMEA2622923	SAMEA2622923;ERS493098	TARA_20110905T1840Z_128_EVENT_PUMP_P_D_(40 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000614	0.0222	-153.6858	40	40	TARA_128	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-09-04	2011-09-05	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB1787	True
SAMEA2623059	ERS493300;SAMEA2623059	TARA_20111004T1746Z_132_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001248	31.5213	-158.9958	5	5	TARA_132	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-10-03	2011-10-04	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2623079	ERS493340;SAMEA2623079	TARA_20111005T0101Z_132_Combined-EVENTS_CAST_MB_D_(115 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001250	31.5168	-159.046	115	115	TARA_132	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-10-04	2011-10-05	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2623098	SAMEA2623098;ERS493372	TARA_20111005T2047Z_132_Combined-EVENTS_CAST_MB_M_(550 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001245	31.528	-159.0224	550	550	TARA_132	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-10-04	2011-10-06	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2623116	SAMEA2623116;ERS493390	TARA_20111018T1535Z_133_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001093	35.3671	-127.7422	5	5	TARA_133	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-10-17	2011-10-18	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB36282	True
SAMEA2623135	SAMEA2623135;ERS493431	TARA_20111019T0009Z_133_EVENT_PUMP_P_D_(45 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001094	35.4002	-127.7499	45	45	TARA_133	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-10-18	2011-10-19	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB1787	True
SAMEA2623155	ERS493460;SAMEA2623155	TARA_20111019T1928Z_133_Combined-EVENTS_CAST_MB_M_(650 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001105	35.2698	-127.7268	650	650	TARA_133	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-10-18	2011-10-20	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2623275	ERS493636;SAMEA2623275	TARA_20111202T1412Z_137_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001287	14.2035	-116.6261	5	5	TARA_137	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-12-02	2011-12-02	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2623295	ERS493670;SAMEA2623295	TARA_20111202T2042Z_137_EVENT_PUMP_MB_D_(40 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001964	14.2075	-116.6468	40	40	TARA_137	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-12-02	2011-12-02	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6608	True
SAMEA2623314	SAMEA2623314;ERS493705	TARA_20111203T1433Z_137_Combined-EVENTS_CAST_MB_M_(375 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001971	14.2025	-116.6433	375	375	TARA_137	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-12-03	2011-12-03	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6608	True
SAMEA2623350	SAMEA2623350;ERS493752	TARA_20111210T1408Z_138_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001989	6.3332	-102.9432	5	5	TARA_138	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-12-10	2011-12-10	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2623370	ERS493788;SAMEA2623370	TARA_20111211T1332Z_138_Combined-EVENTS_CAST_MB_D_(60 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001996	6.3378	-102.9538	60	60	TARA_138	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-12-11	2011-12-11	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6608	True
SAMEA2623390	SAMEA2623390;ERS493822	TARA_20111211T2040Z_138_Combined-EVENTS_CAST_MB_M_(450 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100002003	6.3559	-103.0598	450	450	TARA_138	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2011-12-11	2011-12-12	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6608	True
SAMEA2623426	SAMEA2623426;ERS493877	TARA_20111221T1620Z_140_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100002019	7.4122	-79.3017	5	5	TARA_140	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-12-21	2011-12-21	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB36282	True
SAMEA2623446	SAMEA2623446;ERS493914	TARA_20111230T1335Z_141_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001939	9.8481	-80.0454	5	5	TARA_141	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2011-12-30	2011-12-30	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2623463	ERS493938;SAMEA2623463	TARA_20120109T1341Z_142_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100002051	25.5264	-88.394	5	5	TARA_142	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2012-01-09	2012-01-09	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB36282	True
SAMEA2623488	SAMEA2623488;ERS493981	TARA_20120109T2019Z_142_Combined-EVENTS_CAST_MB_D_(125 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100002052	25.6168	-88.4532	125	125	TARA_142	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2012-01-09	2012-01-09	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2623513	SAMEA2623513;ERS494006	TARA_20120110T1451Z_142_Combined-EVENTS_CAST_MB_M_(640 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100002049	25.6236	-88.45	640	640	TARA_142	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2012-01-10	2012-01-10	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2623627	ERS494170;SAMEA2623627	TARA_20120202T1152Z_145_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001142	39.2305	-70.0377	5	5	TARA_145	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2012-02-02	2012-02-02	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2623649	ERS494208;SAMEA2623649	TARA_20120202T1839Z_145_Combined-EVENTS_CAST_MB_M_(590 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001146	39.2392	-70.0343	590	590	TARA_145	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2012-02-02	2012-02-04	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)			public	PRJEB7988;PRJEB6610	True
SAMEA2623673	SAMEA2623673;ERS494236	TARA_20120215T1254Z_146_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001540	34.6712	-71.3093	5	5	TARA_146	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2012-02-15	2012-02-15	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2623693	SAMEA2623693;ERS494274	TARA_20120216T1208Z_146_Combined-EVENTS_CAST_MB_M_(640 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001167	34.6663	-71.2907	640	640	TARA_146	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2012-02-16	2012-02-16	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2623734	ERS494332;SAMEA2623734	TARA_20120224T1140Z_148_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001741	31.6948	-64.2489	5	5	TARA_148	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2012-02-24	2012-02-24	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2623756	ERS494374;SAMEA2623756	TARA_20120227T1532Z_148b_Combined-EVENTS_CAST_MB_M_(250 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001750	34.1504	-56.9684	250	250	TARA_148b	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2012-02-27	2012-02-27	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2623774	ERS494394;SAMEA2623774	TARA_20120301T1048Z_149_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001758	34.1132	-49.9181	5	5	TARA_149	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2012-03-01	2012-03-01	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB36282	True
SAMEA2623794	SAMEA2623794;ERS494431	TARA_20120301T1853Z_149_Combined-EVENTS_CAST_MB_M_(740 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001765	34.0771	-49.8233	740	740	TARA_149	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2012-03-01	2012-03-01	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2623808	ERS494445;SAMEA2623808	TARA_20120305T0925Z_150_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001769	35.9346	-37.3032	5	5	TARA_150	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2012-03-05	2012-03-05	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB36282	True
SAMEA2623826	SAMEA2623826;ERS494488	TARA_20120305T1734Z_150_EVENT_PUMP_P_D_(40 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001778	35.8427	-37.1526	40	40	TARA_150	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2012-03-05	2012-03-05	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB1787	True
SAMEA2623850	ERS494518;SAMEA2623850	TARA_20120309T0859Z_151_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001564	36.1715	-29.023	5	5	TARA_151	BACT_NUC-RNA(10L-or-10min)_W0.22-3	RNA	0.22-3	2012-03-09	2012-03-09	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6608	True
SAMEA2623868	SAMEA2623868;ERS494559	TARA_20120309T1745Z_151_Combined-EVENTS_CAST_MB_D_(80 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001559	36.1811	-28.9373	80	80	TARA_151	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2012-03-09	2012-03-09	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2623886	ERS494579;SAMEA2623886	TARA_20120319T0818Z_152_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001173	43.6792	-16.8344	5	5	TARA_152	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2012-03-19	2012-03-19	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB36282	True
SAMEA2623907	ERS494616;SAMEA2623907	TARA_20120319T1502Z_152_Combined-EVENTS_CAST_MB_M_(800 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001179	43.7182	-16.8714	800	800	TARA_152	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2012-03-19	2012-03-19	mesopelagic zone (ENVO:00000213)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)			public	PRJEB7988;PRJEB6610	True
SAMEA2623919	SAMEA2623919;ERS494628	TARA_20120319T1848Z_152_EVENT_CAST_B2-B10_I_(5-160 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100002029	43.7684	-16.9047	5-160		TARA_152	BACT_NUC-DNA(100L)_W0.22-3	DNA	0.22-3	2012-03-19	2012-03-19	water layer with no specific feature	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	water layer with no specific feature			public	PRJEB7988;PRJEB6610	True
