pubseedid	2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	strain	species	genus	family	order	class	phylum	kingdom	host	ncbi taxonomy id	annotation version id	gcf id	img genome id	strain/species reference	reference category	ecotype	specific ecosystem	cultured	diseases	ecosystem	ecosystem category	ecosystem subtype	ecosystem type	gram staining	oxygen requirement	metabolism	motility	sample body subsite	genome size   * assembled	gene count   * assembled	gc count   * assembled	gc   * assembled	cds count   * assembled	cds %   * assembled	genome link	file	sample body site	refseq id	habitat	cell shape	id	summary_rank
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022274	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1022274/ERR1022274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1022274/ERR1022274_2.fastq.gz	Lachnospiraceae_nov__ERR1022274.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022274	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022277	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1022277/ERR1022277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1022277/ERR1022277_2.fastq.gz	Lachnospiraceae_nov__ERR1022277.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022277	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022289	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1022289/ERR1022289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1022289/ERR1022289_2.fastq.gz	Lachnospiraceae_nov__ERR1022289.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022289	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022303	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1022303/ERR1022303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1022303/ERR1022303_2.fastq.gz	Lachnospiraceae_nov__ERR1022303.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022303	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022308	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1022308/ERR1022308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1022308/ERR1022308_2.fastq.gz	Lachnospiraceae_nov__ERR1022308.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022308	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022341	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1022341/ERR1022341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1022341/ERR1022341_2.fastq.gz	Lachnospiraceae_nov__ERR1022341.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022341	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022342	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1022342/ERR1022342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1022342/ERR1022342_2.fastq.gz	Lachnospiraceae_nov__ERR1022342.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022342	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022343	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1022343/ERR1022343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1022343/ERR1022343_2.fastq.gz	Lachnospiraceae_nov__ERR1022343.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022343	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022351	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1022351/ERR1022351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1022351/ERR1022351_2.fastq.gz	Lachnospiraceae_nov__ERR1022351.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022351	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022353	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1022353/ERR1022353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1022353/ERR1022353_2.fastq.gz	Lachnospiraceae_nov__ERR1022353.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022353	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022380	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1022380/ERR1022380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1022380/ERR1022380_2.fastq.gz	Lachnospiraceae_nov__ERR1022380.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022380	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022381	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1022381/ERR1022381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1022381/ERR1022381_2.fastq.gz	Lachnospiraceae_nov__ERR1022381.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022381	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022386	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1022386/ERR1022386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1022386/ERR1022386_2.fastq.gz	Lachnospiraceae_nov__ERR1022386.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022386	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022389	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1022389/ERR1022389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1022389/ERR1022389_2.fastq.gz	Lachnospiraceae_nov__ERR1022389.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022389	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022390	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1022390/ERR1022390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1022390/ERR1022390_2.fastq.gz	Lachnospiraceae_nov__ERR1022390.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022390	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022398	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1022398/ERR1022398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1022398/ERR1022398_2.fastq.gz	Lachnospiraceae_nov__ERR1022398.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022398	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022402	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1022402/ERR1022402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1022402/ERR1022402_2.fastq.gz	Lachnospiraceae_nov__ERR1022402.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022402	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022429	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1022429/ERR1022429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1022429/ERR1022429_2.fastq.gz	Lachnospiraceae_nov__ERR1022429.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022429	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022431	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1022431/ERR1022431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1022431/ERR1022431_2.fastq.gz	Lachnospiraceae_nov__ERR1022431.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022431	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022433	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1022433/ERR1022433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1022433/ERR1022433_2.fastq.gz	Lachnospiraceae_nov__ERR1022433.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022433	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022436	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1022436/ERR1022436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/006/ERR1022436/ERR1022436_2.fastq.gz	Lachnospiraceae_nov__ERR1022436.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022436	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022478	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1022478/ERR1022478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1022478/ERR1022478_2.fastq.gz	Lachnospiraceae_nov__ERR1022478.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022478	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022480	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1022480/ERR1022480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/000/ERR1022480/ERR1022480_2.fastq.gz	Lachnospiraceae_nov__ERR1022480.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022480	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1022481	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1022481/ERR1022481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1022481/ERR1022481_2.fastq.gz	Lachnospiraceae_nov__ERR1022481.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1022481	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1203950	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/000/ERR1203950/ERR1203950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/000/ERR1203950/ERR1203950_2.fastq.gz	Lachnospiraceae_nov__ERR1203950.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1203950	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1203952	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/002/ERR1203952/ERR1203952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/002/ERR1203952/ERR1203952_2.fastq.gz	Lachnospiraceae_nov__ERR1203952.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1203952	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1203964	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/004/ERR1203964/ERR1203964_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/004/ERR1203964/ERR1203964_2.fastq.gz	Lachnospiraceae_nov__ERR1203964.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1203964	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1203967	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/007/ERR1203967/ERR1203967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/007/ERR1203967/ERR1203967_2.fastq.gz	Lachnospiraceae_nov__ERR1203967.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1203967	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1203970	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/000/ERR1203970/ERR1203970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/000/ERR1203970/ERR1203970_2.fastq.gz	Lachnospiraceae_nov__ERR1203970.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1203970	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1203972	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/002/ERR1203972/ERR1203972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/002/ERR1203972/ERR1203972_2.fastq.gz	Lachnospiraceae_nov__ERR1203972.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1203972	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1204044	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/004/ERR1204044/ERR1204044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/004/ERR1204044/ERR1204044_2.fastq.gz	Lachnospiraceae_nov__ERR1204044.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1204044	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1204046	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/006/ERR1204046/ERR1204046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/006/ERR1204046/ERR1204046_2.fastq.gz	Lachnospiraceae_nov__ERR1204046.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1204046	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1204058	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/008/ERR1204058/ERR1204058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/008/ERR1204058/ERR1204058_2.fastq.gz	Lachnospiraceae_nov__ERR1204058.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1204058	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1204061	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/001/ERR1204061/ERR1204061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/001/ERR1204061/ERR1204061_2.fastq.gz	Lachnospiraceae_nov__ERR1204061.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1204061	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1204064	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/004/ERR1204064/ERR1204064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/004/ERR1204064/ERR1204064_2.fastq.gz	Lachnospiraceae_nov__ERR1204064.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1204064	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR1204066	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/006/ERR1204066/ERR1204066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR120/006/ERR1204066/ERR1204066_2.fastq.gz	Lachnospiraceae_nov__ERR1204066.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR1204066	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR171267	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/ERR171267/ERR171267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/ERR171267/ERR171267_2.fastq.gz	Lachnospiraceae_nov__ERR171267.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR171267	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR171274	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/ERR171274/ERR171274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/ERR171274/ERR171274_2.fastq.gz	Lachnospiraceae_nov__ERR171274.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR171274	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR171283	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/ERR171283/ERR171283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/ERR171283/ERR171283_2.fastq.gz	Lachnospiraceae_nov__ERR171283.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR171283	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR2221097	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/007/ERR2221097/ERR2221097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/007/ERR2221097/ERR2221097_2.fastq.gz	Lachnospiraceae_nov__ERR2221097.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR2221097	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR2221111	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/001/ERR2221111/ERR2221111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/001/ERR2221111/ERR2221111_2.fastq.gz	Lachnospiraceae_nov__ERR2221111.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR2221111	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR2221148	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/008/ERR2221148/ERR2221148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/008/ERR2221148/ERR2221148_2.fastq.gz	Lachnospiraceae_nov__ERR2221148.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR2221148	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR2221151	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/001/ERR2221151/ERR2221151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/001/ERR2221151/ERR2221151_2.fastq.gz	Lachnospiraceae_nov__ERR2221151.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR2221151	species
	0.0	Lachnospiraceae	Lachnospiraceae nov. ERR2221161	unclassified Lachnospiraceae	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	186803.0				PMID:30718869	Forster et al. resource	0.0	0.0							Gram+	Anaerobe	0.0	0	0.0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/001/ERR2221161/ERR2221161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/001/ERR2221161/ERR2221161_2.fastq.gz	Lachnospiraceae_nov__ERR2221161.json	0.0		0.0	0.0	Lachnospiraceae_nov__ERR2221161	species
