Sample	Spring	BroadRegion	TemperatureC	PH	Conductivity	FilteredSequences	Recruitment	EstimatedCatalogReads	EqualSampleWeight	CatalogReadWeight
LP02.3.1	LP02	GBD	45	7.03	0.5266	18961782	0.076765	1455601.19523	1	1
LP03.3.1	LP03	GBD	43.3	6.93	0.5212	21036860	0.058535	1231392.6001	0.5	0.413283651324726
LP03.3.2	LP03	GBD	42	6.95	0.5221	16862556	0.10367	1748141.18052	0.5	0.586716348675274
LR01.3.1	LR01	GBD	45.1	6.63	1.017	20066259	0.205595	4125522.519105	0.333333333333333	0.482926211142824
LR01.3.2	LR01	GBD	43.6	7.72	1.06	20689194	0.129405	2677285.14957	0.333333333333333	0.313398161673659
LR01.3.3	LR01	GBD	42.7	7.03		14506248	0.119945	1739951.91636	0.333333333333333	0.203675627183516
LS01.3.1	LS01	ALK	82.8	6.8	1.839	22029203	0.15638	3444926.76514	0.333333333333333	0.422632135405231
LS01.3.2	LS01	ALK	81.7	6.8	1.846	22832637	0.108495	2477226.951315	0.333333333333333	0.303912328967928
LS01.3.3	LS01	ALK	73.1	6.79		23444332	0.095075	2228969.8649	0.333333333333333	0.27345553562684
LS02.3.1	LS02	ALK	85	6.8	1.781	18814481	0.083185	1565082.601985	0.333333333333333	0.24193096930559
LS02.3.2	LS02	ALK	82.3	6.8	1.841	21283264	0.14455	3076495.8112	0.333333333333333	0.475565706707241
LS02.3.3	LS02	ALK	80.5	6.79		21981602	0.08314	1827550.39028	0.333333333333333	0.282503323987169
LT01.3.1	LT01	SIE	43.5	6.77	4.79	23815722	0.0817	1945744.4874	0.333333333333333	0.0514618150549179
LT01.3.2	LT01	SIE	42.7	6.77	4.78	20746328	0.77896	16160559.65888	0.333333333333333	0.427420834407988
LT01.3.3	LT01	SIE	40.9	6.77	4.77	27588723	0.714175	19703176.248525	0.333333333333333	0.521117350537095
LT12.3.1	LT12	SIE	44.2	6.77	4.72	24455147	0.230485	5636544.556295	0.333333333333333	0.480496488682808
LT12.3.2	LT12	SIE	44.5	6.77	4.75	32504364	0.07505	2439452.5182	0.333333333333333	0.207955132368191
LT12.3.3	LT12	SIE	43.1	6.77	4.74	29605658	0.123445	3654670.45181	0.333333333333333	0.311548378949
LT16.3.1	LT16	SIE	35.25	6.76		21734357	0.297675	6469774.719975	0.25	0.391610321507595
LT16.3.2	LT16	SIE	43.6	6.77	4.9	24348057	0.136175	3315596.661975	0.25	0.200690430653906
LT16.3.3	LT16	SIE	41.9	6.77	4.96	20043066	0.166465	3336468.98169	0.25	0.201953815576563
LT16.3.4	LT16	SIE	34	6.76	4.9	22260053	0.1527	3399110.0931	0.25	0.205745432261936
LU02.3.1	LU02	GBD	67.2	6.8	1.228	20824992	0.108345	2256283.75824	0.5	0.464373953944466
LU02.3.2	LU02	GBD	50.8	7.84	1.104	18981663	0.137105	2602480.905615	0.5	0.535626046055534
LU04.3.1	LU04	GBD	65	6.82	1.236	32078313	0.161115	5168297.398995	0.333333333333333	0.498733568142525
LU04.3.2	LU04	GBD	50.9	7.03		21245418	0.14581	3097794.39858	0.333333333333333	0.298932885339795
LU04.3.3	LU04	GBD	61.4	7.02	1.13	17351462	0.12084	2096750.66808	0.333333333333333	0.20233354651768
LV02.3.1	LV02	SIE	48.3	6.77	2.12	26921976	0.13533	3643351.01208	0.25	0.224436434369419
LV02.3.2	LV02	SIE	46.8	6.77	2.11	28550536	0.13146	3753253.46256	0.25	0.231206606672996
LV02.3.3	LV02	SIE	45.9	6.77	2.12	27124638	0.19605	5317785.2799	0.25	0.327584348311684
LV02.3.4	LV02	SIE	47.1	6.77	2.12	24885553	0.141405	3518941.621965	0.25	0.216772610645901
