	CCMD34381688ST-21-0	G78505	G88884	G88970	G89027	H2M514903	H3M518116	HD-1	HD-5	HV-6	LD-48	M1.48.ST	M2.48.ST	M2.58.ST	N021	S353	SID530054	SZAXPI003417-4	T2D-025	T2D-063	T2D-105	YSZC12003_36795
UniRef90_A0A3E4WP14	-3	1	-3	1	-3	-3	-2	1	1	1	1	-3	-3	1	-2	-3	-3	1	1	1	-3	-3
UniRef90_A0A3E4WP21	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WP38	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3
UniRef90_A0A3E4WP57	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WPB0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WPE4	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3
UniRef90_A0A3E4WPE7	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WPF3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3
UniRef90_A0A3E4WPH1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WPJ5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WPU3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WQ33	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-2	-3
UniRef90_A0A3E4WQ70	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	1	1	1	-3	-3
UniRef90_A0A3E4WQ74	-3	-3	-3	-3	-2	-3	-3	-3	1	1	1	-3	-3	-3	1	-3	-3	1	-3	1	1	-3
UniRef90_A0A3E4WQ92	-3	1	-3	-2	-3	-3	-1	1	-3	-3	1	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WQ94	-3	1	-3	1	1	-2	1	1	1	1	1	1	-3	1	1	-3	-3	1	1	1	1	-3
UniRef90_A0A3E4WQA1	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3	-3	-3	-3	1	-3	1	-3	-3
UniRef90_A0A3E4WQC5	-3	-3	-3	-3	-3	-3	1	-3	-3	1	1	-3	-3	-3	1	-3	-3	-3	1	-3	1	-3
UniRef90_A0A3E4WQF9	-3	-3	-3	-3	-3	1	1	-3	-3	1	1	-3	-3	-3	1	-2	1	1	1	1	-3	-2
UniRef90_A0A3E4WQG6	-3	-3	-3	-3	-3	-3	-2	1	1	-3	1	-3	-3	-3	-3	-3	-3	1	1	1	1	-3
UniRef90_A0A3E4WQM1	-3	1	-3	1	-3	1	1	1	1	1	1	-3	-3	-3	1	-3	-3	1	-3	1	1	-3
UniRef90_A0A3E4WQW2	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WR47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A3E4WRE4	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-2	-3	-2	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WRH5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A3E4WS04	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	1	-3	-3	1	-3
UniRef90_A0A3E4WS15	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3
UniRef90_A0A3E4WS32	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WS35	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WSC9	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3
UniRef90_A0A3E4WSE2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WSE6	-2	1	1	1	1	-3	-3	-2	-2	-3	1	1	-2	1	-3	-2	-2	1	1	1	1	-2
UniRef90_A0A3E4WSF4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WSH9	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3
UniRef90_A0A3E4WT07	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-2	-3
UniRef90_A0A3E4WTD1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-2	-3	-3	-2	-3	-3	-3	-3
UniRef90_A0A3E4WTD7	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	1	-3	-3	1	-3	-3	-3	1	1	-3	-3	-3
UniRef90_A0A3E4WTL0	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	1	-3	-3	-3	-3
UniRef90_A0A3E4WTR9	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-2	-3	-3	-1	-3	-3	-3	-3
UniRef90_A0A3E4WUU9	-3	1	-2	-2	1	-2	-3	1	-3	-3	-3	-2	-2	-2	-2	1	-2	-2	-2	-2	-3	-2
UniRef90_A0A3E4WUZ3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-2	-3	-3	1	-3	-3	1	1	-3	-3	-3
UniRef90_A0A3E4WV04	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WV25	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WV75	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WVS2	-3	-3	-3	-3	-3	-3	1	-2	1	1	1	-3	-3	-3	1	-2	-3	1	1	1	-3	-3
UniRef90_A0A3E4WVY5	-3	-3	-3	-3	-3	-3	1	-3	-2	1	1	-3	-3	-3	-2	-3	-3	1	1	1	-3	-3
UniRef90_A0A3E4WWA8	-3	-3	-3	-3	-3	-3	-2	-3	-2	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-2	-2	-3
UniRef90_A0A3E4WWB1	-3	-3	-3	-3	-3	-3	1	-3	1	-2	1	-3	-3	-3	1	-3	-3	1	1	-3	-3	-3
UniRef90_A0A3E4WWJ5	-1	-3	-3	-3	1	-3	1	1	-3	1	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3
UniRef90_A0A3E4WXK3	-3	-3	-3	1	-3	-3	-3	-3	1	-2	-3	-3	-3	-3	-1	-3	-2	-3	-3	-3	-3	-3
UniRef90_A0A3E4WXK7	-3	-3	-3	-2	-3	-3	-3	-3	1	1	-3	-3	-3	-3	-1	-3	1	-3	-3	-3	-3	-3
UniRef90_A0A3E4WXR4	-3	-3	-3	1	-3	-3	-3	-3	-2	1	-3	-3	-3	-3	-1	-3	1	-3	-3	-3	-3	-3
UniRef90_A0A3E4WY00	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WY22	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WY32	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WY33	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WY35	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3
UniRef90_A0A3E4WY45	-2	-3	-2	-2	-2	-2	1	-3	1	1	1	-2	1	-2	1	-3	-3	1	1	-2	-2	-2
UniRef90_A0A3E4WY54	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WY56	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WY60	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WY62	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A3E4WY64	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WY69	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WY72	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	1	-2	1	-3	-3
UniRef90_A0A3E4WY80	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WY91	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WYA8	1	-2	1	1	1	-3	-2	-2	1	-2	1	-2	1	1	1	-2	1	1	1	-2	1	1
UniRef90_A0A3E4WYB9	-3	1	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	1	1	-3	-2	-3
UniRef90_A0A3E4WYC8	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WYG8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WYP9	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WYQ9	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4WZC0	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X029	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	1
UniRef90_A0A3E4X032	-3	-3	-3	-3	-3	-3	-2	-3	1	-3	-3	-3	-3	-3	1	-3	-3	1	1	1	1	-3
UniRef90_A0A3E4X074	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	1	-3	-3	-3
UniRef90_A0A3E4X080	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	1
UniRef90_A0A3E4X090	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3
UniRef90_A0A3E4X093	1	-3	-3	-3	1	-2	-3	-3	-3	-3	1	1	-3	-3	-3	-3	-3	1	1	1	1	-3
UniRef90_A0A3E4X0A7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3
UniRef90_A0A3E4X0C3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X0C5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UniRef90_A0A3E4X0K1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	1
UniRef90_A0A3E4X0V5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3
UniRef90_A0A3E4X1I6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	1
UniRef90_A0A3E4X2D2	-3	-2	-3	-3	-3	-3	-2	-3	1	1	1	-3	-3	-3	1	-3	-3	1	1	1	-3	-3
UniRef90_A0A3E4X2F6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2G6	1	-3	-3	-3	-3	-3	-3	-3	1	1	1	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2I3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2J0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2J1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2J9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2K0	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2K2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2K8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2L1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2L2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A3E4X2L3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2L5	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2L8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2L9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2M1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2M6	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2M7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2M9	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X2P9	-2	-3	-3	-3	-3	-2	1	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A3E4X2Q0	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A3E4X2X2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X335	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X362	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X369	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X462	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	-3	-3	-2	-2
UniRef90_A0A3E4X482	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3
UniRef90_A0A3E4X489	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3
UniRef90_A0A3E4X491	1	-3	-3	1	1	-3	1	1	-3	-3	-1	1	1	1	1	1	-3	1	1	1	1	-3
UniRef90_A0A3E4X4E5	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3
UniRef90_A0A3E4X4E9	1	-2	-1	-3	1	1	1	-2	-2	-2	1	-3	1	-3	-1	-2	1	-3	1	-3	-3	-2
UniRef90_A0A3E4X4F0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3
UniRef90_A0A3E4X4F1	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-2	1	-2	-3	-3	-2
UniRef90_A0A3E4X4F7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3
UniRef90_A0A3E4X4F8	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3
UniRef90_A0A3E4X4F9	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-2	-3	-3	-3
UniRef90_A0A3E4X4G0	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3
UniRef90_A0A3E4X4G3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3
UniRef90_A0A3E4X4G4	-3	-3	-3	-3	-3	1	-3	-3	-3	-2	-3	-3	-3	-3	-1	-3	-2	-3	1	-3	-3	-3
UniRef90_A0A3E4X4H1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3
UniRef90_A0A3E4X4H4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3
UniRef90_A0A3E4X4Q5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X4R0	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	1	-3	-3
UniRef90_A0A3E4X4R5	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3
UniRef90_A0A3E4X4V8	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	1	-3	-3	-3	-3
UniRef90_A0A3E4X4Z1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3
UniRef90_A0A3E4X508	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X509	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X511	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X527	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X566	1	-3	-2	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X576	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X583	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X592	-3	-3	-3	-3	-3	-3	1	1	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X5C8	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3
UniRef90_A0A3E4X5F0	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X7T5	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4X893	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	1	-3
UniRef90_A0A3E4X8A7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3
UniRef90_A0A3E4X8D6	-3	1	-3	-3	-3	-3	1	-3	1	-3	1	-3	-3	-3	1	-3	-3	1	1	1	-3	-3
UniRef90_A0A3E4X8K2	1	1	-3	1	1	1	1	1	1	1	1	1	1	1	1	-3	-3	1	1	1	1	-3
UniRef90_A0A3E4X8L8	-3	-3	-3	-3	-3	-3	-2	1	-3	-2	-3	-3	-3	-3	-2	-3	-3	-3	-2	-3	-3	-3
UniRef90_A0A3E4X8M1	1	1	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	1	-3	-3	1	-3
UniRef90_A0A3E4X929	1	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3	-3	-3	-3	-3	1	1	-3	-3	-3
UniRef90_A0A3E4X941	-3	-3	-3	-3	-3	-2	-3	-3	1	1	-3	-3	-2	-3	-3	-3	-3	1	1	-3	1	-2
UniRef90_A0A3E4X9F7	-3	-3	-3	-3	-3	-3	-3	1	-3	1	-3	-3	-3	-3	-2	-3	-2	1	-2	-3	-3	-3
UniRef90_A0A3E4X9I7	-3	-3	-3	-3	-3	-3	-3	-3	-2	1	-3	-3	-3	-3	-2	-3	-2	-3	-3	-3	-3	-3
UniRef90_A0A3E4X9M7	-3	-3	-3	-3	-3	1	-3	-3	-2	-3	-3	-3	-3	1	-2	-3	-3	-3	-3	1	-3	-3
UniRef90_A0A3E4X9N1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3
UniRef90_A0A3E4X9P0	1	1	-3	-3	-3	-2	-3	-3	1	1	1	-3	1	1	1	-3	-3	1	1	1	1	-3
UniRef90_A0A3E4X9Q4	-3	-3	-3	-3	-3	-3	-3	-3	-2	1	1	-3	-3	-3	1	-3	-3	1	1	-3	-3	-3
UniRef90_A0A3E4X9V7	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4XAM3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	1	1	1	-3	-3
UniRef90_A0A3E4XAN6	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4XAN9	-3	1	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4XAQ3	-3	1	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4XAR9	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	1	-3	-3	-3	-3
UniRef90_A0A3E4XAS0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4XAS8	-3	1	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4XAW1	-3	1	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1
UniRef90_A0A3E4XAY5	-3	1	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4XBB2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3
UniRef90_A0A3E4XBC3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	1	1	1	1	-3
UniRef90_A0A3E4XBC5	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	1	1	1	1	-3
UniRef90_A0A3E4XBC6	-3	-3	-3	-3	-3	-3	-1	-3	-3	-3	1	-3	-3	-3	-3	-3	-3	1	1	1	1	-3
UniRef90_A0A3E4XBD7	-2	-3	-3	-2	-3	-3	-3	1	-3	-3	-2	-3	-2	-2	-3	-3	-3	1	1	1	1	-3
UniRef90_A0A3E4XBI7	1	-1	-1	1	1	1	-1	-1	1	1	-1	1	1	1	-1	1	-2	-1	-1	-1	-1	-1
